state,lgc,population,land_size_klm2,senatorial_district,Male,Female
Kano,Garko,161966,469.212,C,82025,79941,
Kano,Garum Mallam,118622,223.388,A,71515,47107,
Kano,Gaya,207419,640.026,C,105199,102220,
Kano,Gezawa,282328,355.481,A,143380,138948,
Kano,Gwale,357827,19.119,A,219201,138626,
Kano,Gwarzo,183624,410.55,B,94669,88955,
Kano,Kabo,153158,355.932,B,83156,70002,
Kano,Kano Municipal,371243,18.176,A,219636,151607,
Kano,Karaye,144045,499.562,C,71727,72318,
Kano,Kibiya,138618,420.494,C,70942,67676,
Kano,Kiru,267168,966.63,C,140565,126603,
Kano,Kumbotso,294391,164.704,A,166171,128220,
Kano,Kunchi,110170,703.802,B,55221,54949,
Kano,Kura,143094,215.526,A,76921,66173,
Kano,Madobi,137685,285.544,A,71095,66590,
Kano,Makoda,220094,462.918,B,110014,110080,
Kano,Minjibir,219611,435.582,A,108218,111393,
Kano,Nasarawa,596411,35.653,A,323740,272671,
Kano,Rano,148276,542.104,C,75997,72279,
Kano,Rimin Gado,103371,235.389,B,53245,50126,
Kano,Rogo,227607,835.222,C,113104,114503,
Kano,Shanono,139128,728.671,B,68466,70662,
Kano,Sumaila,250379,1300.907,C,125162,125217,
Kano,Takai,202639,622.779,C,100269,102370,
Kano,Tarauni,221844,29.676,A,122069,99775,
Kano,Tofa,98603,210.817,B,49870,48733,
Kano,Tsanyawa,157730,515.281,B,80638,77092,
Kano,Tudun Wada,228658,1252.345,C,113791,114867,
Kano,Ungogo,365737,213.831,A,192372,173365,
Kano,Warawa,131858,376.152,A,66800,65058,
Kano,Wudil,188639,377.559,C,100357,88282,
Katsina,Bakori,149516,707.595,B,72714,76802,
Katsina,Batagarawa,189059,455.203,C,96693,92366,
Katsina,Batsari,207874,1163.661,C,104279,103595,
Katsina,Baure,202941,743.149,A,102127,100814,
Katsina,Bindawa,151002,418.425,A,76925,74077,
Katsina,Charanchi,136989,494.316,C,70040,66949,
Katsina,Dan Musa,113190,828.6,C,58031,55159,
Katsina,Dandume,145323,439.616,B,74222,71101,
Katsina,Danja,125481,521.423,B,63663,61818,
Katsina,Daura,224884,332.931,A,115576,109308,
Katsina,Dutsi,120902,297.875,A,61430,59472,
Katsina,Dutsin-Ma,169829,552.323,C,88202,81627,
Katsina,Faskari,194400,1824.087,B,97963,96437,
Katsina,Funtua,225156,466.815,B,117789,107367,
Katsina,Ingawa,169148,937.43,A,86061,83087,
Katsina,Jibia,167435,1091.871,C,85149,82286,
Katsina,Kafur,209360,1153.613,B,104620,104740,
Katsina,Kaita,182405,975.584,C,93190,89215,
Katsina,Kankara,243259,1527.741,B,121815,121444,
Katsina,Kankia,151395,864.164,A,77061,74334,
Katsina,Katsina,318132,149.633,C,168906,149226,
Katsina,Kurfi,116700,600.935,C,59021,57679,
Katsina,Kusada,98348,409.154,A,50930,47418,
Katsina,Mai'Adua,201800,556.596,A,103107,98693,
Katsina,Malumfashi,182891,703.755,B,92420,90471,
Katsina,Mani,176301,825.642,A,88007,88294,
Katsina,Mashi,171070,954.08,A,84105,86965,
Katsina,Matazu,113814,526.975,B,57587,56227,
Katsina,Musawa,170006,887.587,B,85788,84218,
Katsina,Rimi,154092,475.638,C,77059,77033,
Katsina,Sabuwa,140679,667.548,B,72106,68573,
Katsina,Safana,185207,296.379,C,93410,91797,
Katsina,Sandamu,136944,1487.539,A,68512,68432,
Katsina,Zango,156052,633.332,A,79771,76281,
Kebbi,Aleiro,67078,365.483,B,34368,32710,
Kebbi,Arewa-Dandi,189728,4077.84,A,94825,94903,
Kebbi,Argungu,200248,1354.984,A,99658,100590,
Kebbi,Augie,116368,1242.357,A,58185,58183,
Kebbi,Bagudo,238014,4944.926,A,118733,119281,
Kebbi,Birnin Kebbi,268620,1385.033,B,135426,133194,
Kebbi,Bunza,123547,911.697,B,61309,62238,
Kebbi,Dandi,146211,2077.829,A,72907,73304,
Kebbi,Fakai,119772,2331.834,C,60441,59331,
Kebbi,Gwandu,151077,1064.066,B,74610,76467,
Kebbi,Jega,197757,927.594,B,98936,98821,
Kebbi,Kalgo,84928,1222.11,B,42262,42666,
Kebbi,Koko/Besse,154818,1346.137,B,78419,76399,
Kebbi,Maiyama,173759,1068.041,B,85728,88031,
Kebbi,Ngaski,126102,2714.307,C,62480,63622,
Kebbi,Sakaba,91728,1305.673,C,46194,45534,
Kebbi,Shanga,127142,1699.7,C,63478,63664,
Kebbi,Suru,148474,1403.262,A,72912,75562,
Kebbi,Wasagu/Danko,265271,4171.59,C,131388,133883,
Kebbi,Yauri,100564,1435.282,C,53016,47548,
Kebbi,Zuru,165335,678.22,C,86354,78981,
Kogi,Adavi,217219,730.608,A,108891,108328,
Kogi,Ajaokuta,122432,1384.65,A,62995,59437,
Kogi,Ankpa,266176,1220.258,B,133705,132471,
Kogi,Bassa,139687,1960.875,B,70293,69394,
Kogi,Dekina,260968,2504.755,B,131394,129574,
Kogi,Ibaji,127572,1395.951,B,64423,63149,
Kogi,Idah,79755,36.386,B,40141,39614,
Kogi,Igalamela-Odolu,147048,2207.789,B,74489,72559,
Kogi,Ijumu,118593,1328.284,C,59582,59011,
Kogi,Kabba/Bunu,144579,2757.572,C,72639,71940,
Kogi,Kogi,115100,1527.781,C,58864,56236,
Kogi,Lokoja,196643,3243.323,C,101145,95498,
Kogi,Mopa-Muro,43760,918.393,C,22311,21449,
Kogi,Ofu,191480,1707.407,B,96671,94809,
Kogi,Ogori/Magongo,39807,80.668,A,20051,19756,
Kogi,Okehi,223574,672.582,A,112879,110695,
Kogi,Okene,325623,333.147,A,163935,161688,
Kogi,Olamabolo,158490,1150.101,B,78439,80051,
Kogi,Omala,107968,1698.286,B,54366,53602,
Kogi,Yagba East,147641,1422.371,C,74619,73022,
Kogi,Yagba West,139928,1300.698,C,71071,68857,
Kwara,Asa,124668,1308.316,B,62751,61917,
Kwara,Baruten,206679,9935.467,A,104727,101952,
Kwara,Edu,201642,2596.408,A,104040,97602,
Kwara,Ekiti,54399,488.192,C,27611,26788,
Kwara,Ifelodun,204975,3501.718,C,103650,101325,
Kwara,Ilorin East,207462,495.076,B,104801,102661,
Kwara,Ilorin South,209251,177.607,B,103606,105645,
Kwara,Ilorin West,365221,106.455,B,180387,184834,
Kwara,Irepodun,147594,749.338,C,73554,74040,
